resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24630,1031,1,131,44,5,4,4,4,12,71,5.689,5461428,67,3,01:07.7,229.572,1
24647,1032,1,131,44,1,1,1,1,25,71,22:50.7,4970683,68,3,01:06.7,232.989,1
24667,1033,1,131,44,1,1,1,1,26,70,36:12.5,5772473,70,1,01:16.6,205.823,1
24687,1034,1,131,44,1,1,1,1,25,52,28:01.3,5281283,45,3,01:29.2,237.652,1
24708,1035,1,131,44,2,2,2,2,19,52,11.326,4793319,43,1,01:28.5,239.766,1
24727,1036,1,131,44,1,1,1,1,25,66,31:45.3,5505279,63,2,01:19.8,209.942,1
24747,1037,1,131,44,1,1,1,1,25,44,24:08.8,5048761,28,2,01:47.8,233.99,1
24773,1038,1,131,44,1,7,7,7,7,53,17.245,6443301,34,1,01:22.7,252.033,1
24787,1039,1,131,44,1,1,1,1,26,59,19:35.1,8375060,58,1,01:18.8,239.518,1
24809,1040,1,131,44,1,3,3,3,15,53,22.729,5663093,48,7,01:38.1,214.66,1
24827,1041,1,131,44,2,1,1,1,25,60,35:49.6,5749641,58,2,01:28.1,210.253,1
24847,1042,1,131,44,1,1,1,1,26,66,29:56.8,5396828,63,1,01:18.7,212.708,1
24867,1043,1,131,44,2,1,1,1,26,63,28:32.4,5312430,63,1,01:15.5,234.121,1
24887,1044,1,131,44,6,1,1,1,25,58,42:19.3,6139313,56,6,01:39.4,193.302,1
24907,1045,1,131,44,1,1,1,1,25,57,59:47.5,10787515,38,3,01:32.9,209.803,1
24949,1047,1,131,44,3,3,3,3,15,55,18.415,5807060,37,5,01:41.4,197.144,1
24640,1031,8,51,7,19,\N,R,14,0,53,\N,\N,48,12,01:09.0,225.185,36
24657,1032,8,51,7,16,11,11,11,0,70,\N,\N,57,14,01:08.4,227.322,11
24681,1033,8,51,7,20,15,15,15,0,69,\N,\N,67,17,01:20.9,194.978,11
24703,1034,8,51,7,16,17,17,17,0,51,\N,\N,49,11,01:30.0,235.71,11
24721,1035,8,51,7,20,15,15,15,0,51,\N,\N,30,18,01:31.8,231.13,11
24740,1036,8,51,7,14,14,14,14,0,65,\N,\N,47,7,01:21.9,204.645,11
24758,1037,8,51,7,16,12,12,12,0,44,+1:11.504,5120265,28,14,01:49.8,229.593,1
24779,1038,8,51,7,14,13,13,13,0,53,36.312,6462368,29,13,01:24.8,245.827,1
24795,1039,8,51,7,13,9,9,9,2,59,29.77,8404830,59,6,01:21.2,232.64,1
24820,1040,8,51,7,19,14,14,14,0,52,\N,\N,37,10,01:38.9,212.96,11
24838,1041,8,51,7,19,12,12,12,0,60,41.476,5791117,54,9,01:30.5,204.755,1
24857,1042,8,51,7,16,11,11,11,0,65,\N,\N,60,15,01:21.1,206.652,11
24875,1043,8,51,7,18,9,9,9,2,63,22.224,5334654,63,10,01:18.1,226.313,1
24901,1044,8,51,7,8,15,15,15,0,57,\N,\N,57,9,01:39.7,192.663,11
24921,1045,8,51,7,17,15,15,15,0,56,\N,\N,43,6,01:33.6,208.213,11
24940,1046,8,51,7,18,14,14,14,0,87,26.153,5501267,56,13,00:57.4,222.305,1
24958,1047,8,51,7,15,12,12,12,0,54,\N,\N,53,14,01:42.1,195.739,11
24636,1031,20,6,5,11,10,10,10,1,71,24.545,5480284,71,8,01:08.6,226.524,1
24666,1032,20,6,5,10,\N,R,20,0,1,\N,\N,40,0,\N,\N,130
24672,1033,20,6,5,5,6,6,6,8,69,\N,\N,49,14,01:20.4,196.254,11
24696,1034,20,6,5,10,10,10,10,1,52,41.857,5323140,44,15,01:30.5,234.242,1
24718,1035,20,6,5,11,12,12,12,0,52,+1:13.370,4855363,49,13,01:30.8,233.602,1
24733,1036,20,6,5,11,7,7,7,6,65,\N,\N,48,18,01:22.7,202.618,11
24759,1037,20,6,5,14,13,13,13,0,44,+1:12.894,5121655,31,16,01:50.0,229.309,1
24786,1038,20,6,5,17,\N,R,20,0,6,\N,\N,4,20,01:27.1,239.415,23
24796,1039,20,6,5,14,10,10,10,1,59,29.983,8405043,59,8,01:21.2,232.531,1
24819,1040,20,6,5,14,13,13,13,0,52,\N,\N,46,14,01:39.6,211.398,11
24837,1041,20,6,5,11,11,11,11,0,60,40.81,5790451,43,7,01:30.4,204.99,1
24856,1042,20,6,5,15,10,10,10,1,65,\N,\N,62,10,01:20.7,207.489,11
24878,1043,20,6,5,14,12,12,12,0,63,28.453,5340883,44,7,01:17.8,227.248,1
24889,1044,20,6,5,11,3,3,3,15,58,31.96,6171273,53,8,01:39.7,192.819,1
24919,1045,20,6,5,11,13,13,13,0,56,\N,\N,41,11,01:33.9,207.575,11
24938,1046,20,6,5,13,12,12,12,0,87,22.611,5497725,56,5,00:56.9,224.141,1
24960,1047,20,6,5,13,14,14,14,0,54,\N,\N,37,6,01:41.5,197.037,11
24642,1031,154,210,8,15,\N,R,16,0,49,\N,\N,46,17,01:10.2,221.347,23
24659,1032,154,210,8,0,13,13,13,0,70,\N,\N,69,12,01:08.0,228.442,11
24682,1033,154,210,8,0,16,16,16,0,69,\N,\N,61,12,01:20.2,196.574,11
24702,1034,154,210,8,17,16,16,16,0,52,55.05,5336333,49,8,01:29.8,236.212,1
24722,1035,154,210,8,13,16,16,16,0,51,\N,\N,51,14,01:30.8,233.581,11
24745,1036,154,210,8,17,19,19,19,0,64,\N,\N,64,3,01:20.4,208.409,12
24761,1037,154,210,8,17,15,15,15,0,44,+1:16.793,5125554,28,17,01:50.0,229.184,1
24778,1038,154,210,8,16,12,12,12,0,53,35.164,6461220,48,12,01:24.8,245.972,1
24798,1039,154,210,8,15,12,12,12,0,59,42.036,8417096,59,13,01:22.3,229.532,1
24823,1040,154,210,8,16,17,17,17,0,52,\N,\N,44,15,01:39.6,211.343,11
24835,1041,154,210,8,16,9,9,9,2,60,39.081,5788722,54,14,01:31.6,202.407,1
24863,1042,154,210,8,18,17,17,17,0,65,\N,\N,59,17,01:21.7,205.118,11
24880,1043,154,210,8,16,14,14,14,0,63,32.935,5345365,45,17,01:18.8,224.206,1
24904,1044,154,210,8,17,\N,R,18,0,49,\N,\N,38,18,01:43.3,186.063,130
24926,1045,154,210,8,19,\N,R,20,0,0,\N,\N,40,0,\N,\N,4
24706,1034,807,211,27,13,\N,W,20,0,0,\N,\N,40,0,\N,\N,131
24713,1035,807,211,27,3,7,7,7,6,52,55.951,4837944,52,6,01:30.1,235.412,1
24834,1041,807,211,27,20,8,8,8,4,60,32.596,5782237,58,11,01:30.7,204.256,1
24632,1031,815,211,11,6,6,6,6,8,71,15.092,5470831,63,6,01:08.3,227.579,1
24652,1032,815,211,11,17,6,6,6,8,71,+1:02.387,5033070,68,4,01:07.2,231.362,1
24673,1033,815,211,11,4,7,7,7,6,69,\N,\N,39,10,01:20.1,196.923,11
24731,1036,815,211,11,4,5,5,5,10,65,\N,\N,58,16,01:22.5,203.09,11
24756,1037,815,211,11,8,10,10,10,1,44,53.179,5101940,20,9,01:48.4,232.628,1
24776,1038,815,211,11,4,10,10,10,1,53,23.224,6449280,50,8,01:24.3,247.282,1
24791,1039,815,211,11,7,5,5,5,10,59,15.65,8390710,59,5,01:20.6,234.175,1
24810,1040,815,211,11,4,4,4,4,12,53,30.558,5670922,52,8,01:38.1,214.515,1
24830,1041,815,211,11,9,4,4,4,12,60,16.07,5765711,58,4,01:29.7,206.608,1
24853,1042,815,211,11,5,7,7,7,6,65,\N,\N,49,11,01:20.8,207.306,11
24872,1043,815,211,11,11,6,6,6,8,63,19.652,5332082,49,9,01:18.1,226.325,1
24888,1044,815,211,11,3,2,2,2,18,58,31.633,6170946,50,12,01:40.4,191.417,1
24924,1045,815,211,11,5,18,18,18,0,53,\N,\N,40,9,01:33.6,208.089,5
24927,1046,815,211,11,5,1,1,1,25,87,31:15.1,5475114,69,3,00:56.8,224.599,1
24966,1047,815,211,11,19,\N,R,20,0,8,\N,\N,6,19,01:43.3,193.625,7
24645,1031,817,4,3,10,\N,R,19,0,17,\N,\N,8,19,01:10.6,220.15,25
24654,1032,817,4,3,8,8,8,8,4,71,+1:02.591,5033274,65,9,01:07.8,229.166,1
24674,1033,817,4,3,11,8,8,8,4,69,\N,\N,46,7,01:19.5,198.305,11
24690,1034,817,4,3,8,4,4,4,12,52,19.65,5300933,49,5,01:29.5,237.004,1
24720,1035,817,4,3,5,14,14,14,0,51,\N,\N,39,16,01:31.2,232.621,11
24737,1036,817,4,3,13,11,11,11,0,65,\N,\N,51,14,01:22.5,203.215,11
24750,1037,817,4,3,4,4,4,4,13,44,18.877,5067638,44,1,01:47.5,234.589,1
24772,1038,817,4,3,7,6,6,6,8,53,8.391,6434447,38,4,01:23.9,248.573,1
24790,1039,817,4,3,8,4,4,4,12,59,10.417,8385477,57,4,01:20.4,234.774,1
24811,1040,817,4,3,5,5,5,5,10,53,52.065,5692429,53,6,01:37.9,215.074,1
24829,1041,817,4,3,6,3,3,3,15,60,14.613,5764254,53,3,01:29.6,206.876,1
24855,1042,817,4,3,10,9,9,9,2,65,\N,\N,61,14,01:20.9,207.04,11
24869,1043,817,4,3,5,3,3,3,15,63,14.32,5326750,62,4,01:17.6,227.878,1
24896,1044,817,4,3,5,10,10,10,1,58,+1:35.460,6234773,54,13,01:40.7,190.875,1
24913,1045,817,4,3,6,7,7,7,6,57,19.368,10806883,38,2,01:32.8,209.887,1
24931,1046,817,4,3,7,5,5,5,10,87,13.33,5488444,57,6,00:57.0,223.85,1
24953,1047,817,4,3,11,7,7,7,7,55,+1:13.748,5862393,55,1,01:40.9,198.109,1
24566,1031,822,131,77,1,1,1,1,25,71,30:55.7,5455739,68,2,01:07.7,229.758,1
24648,1032,822,131,77,4,2,2,2,18,71,13.719,4984402,62,7,01:07.5,230.177,1
24669,1033,822,131,77,2,3,3,3,15,70,9.452,5781925,66,2,01:17.7,203.072,1
24697,1034,822,131,77,2,11,11,11,0,52,42.167,5323450,41,4,01:29.3,237.58,1
